PE장 ID,지번명,X좌표,Y좌표,가로,세로,길이제약,폭제약,높이제약
PE044,J216,460,0,20,17,1000,1000,1000
PE044,J189,260,17,20,17,1000,1000,1000
PE044,J190,260,0,20,17,1000,1000,1000
PE044,J191,240,17,20,17,1000,1000,1000
PE044,J192,240,0,20,17,1000,1000,1000
PE044,J193,220,17,20,17,1000,1000,1000
PE044,J194,220,0,20,17,1000,1000,1000
PE044,J195,200,17,20,17,1000,1000,1000
PE044,J196,200,0,20,17,1000,1000,1000
PE044,J197,180,17,20,17,1000,1000,1000
PE044,J198,180,0,20,17,1000,1000,1000
PE044,J199,160,17,20,17,1000,1000,1000
PE044,J200,160,0,20,17,1000,1000,1000
PE044,J201,140,17,20,17,1000,1000,1000
PE044,J202,140,0,20,17,1000,1000,1000
PE044,J203,120,17,20,17,1000,1000,1000
PE044,J204,120,0,20,17,1000,1000,1000
PE044,J205,100,17,20,17,1000,1000,1000
PE044,J206,100,0,20,17,1000,1000,1000
PE044,J207,80,17,20,17,1000,1000,1000
PE044,J208,80,0,20,17,1000,1000,1000
PE044,J209,60,17,20,17,1000,1000,1000
PE044,J210,60,0,20,17,1000,1000,1000
PE044,J211,40,17,20,17,1000,1000,1000
PE044,J212,40,0,20,17,1000,1000,1000
PE044,J213,20,17,20,17,1000,1000,1000
PE044,J214,20,0,20,17,1000,1000,1000
PE044,J217,440,17,20,17,1000,1000,1000
PE044,J218,440,0,20,17,1000,1000,1000
PE044,J219,420,17,20,17,1000,1000,1000
PE044,J220,420,0,20,17,1000,1000,1000
PE044,J221,400,17,20,17,1000,1000,1000
PE044,J222,400,0,20,17,1000,1000,1000
PE044,J223,380,17,20,17,1000,1000,1000
PE044,J224,380,0,20,17,1000,1000,1000
PE044,J225,360,17,20,17,1000,1000,1000
PE044,J226,360,0,20,17,1000,1000,1000
PE044,J227,340,17,20,17,1000,1000,1000
PE044,J228,340,0,20,17,1000,1000,1000
PE044,J229,320,17,20,17,1000,1000,1000
PE044,J230,320,0,20,17,1000,1000,1000
PE044,J231,300,17,20,17,1000,1000,1000
PE044,J232,300,0,20,17,1000,1000,1000
PE044,J233,280,17,20,17,1000,1000,1000
PE044,J234,280,0,20,17,1000,1000,1000
PE055,J339,48,20,17,20,1000,1000,1000
PE055,J340,48,0,17,20,1000,1000,1000
PE055,J341,30,20,18,20,1000,1000,1000
PE055,J342,30,0,18,20,1000,1000,1000
PE044,J215,460,17,20,17,1000,1000,1000
PE049,J637,0,48,20,16,1000,1000,1000
PE049,J638,0,32,20,16,1000,1000,1000
PE049,J639,0,16,20,16,1000,1000,1000
PE049,J640,0,0,20,16,1000,1000,1000
PE045,J235,174,17,22,15,1000,1000,1000
PE045,J236,153,17,21,15,1000,1000,1000
PE045,J237,132,17,21,15,1000,1000,1000
PE045,J238,110,17,22,15,1000,1000,1000
PE045,J239,88,17,22,15,1000,1000,1000
PE045,J240,66,17,22,15,1000,1000,1000
PE045,J241,44,17,22,15,1000,1000,1000
PE045,J242,22,17,22,15,1000,1000,1000
PE045,J243,22,0,22,17,1000,1000,1000
PE045,J244,174,0,22,17,1000,1000,1000
PE045,J245,153,0,21,17,1000,1000,1000
PE045,J246,132,0,21,17,1000,1000,1000
PE045,J247,110,0,22,17,1000,1000,1000
PE045,J248,88,0,22,17,1000,1000,1000
PE045,J249,66,0,22,17,1000,1000,1000
PE045,J250,44,0,22,17,1000,1000,1000
PE045,J251,0,0,22,17,1000,1000,1000
PE045,J252,0,17,22,15,1000,1000,1000
PE051,J315,80,11,20,15,1000,1000,1000
PE051,J316,60,11,20,15,1000,1000,1000
PE051,J317,40,11,20,15,1000,1000,1000
PE051,J318,20,11,20,15,1000,1000,1000
PE051,J319,0,11,20,15,1000,1000,1000
PE052,J320,142,11,20,15,1000,1000,1000
PE052,J321,122,11,20,15,1000,1000,1000
PE052,J322,102,11,20,15,1000,1000,1000
PE052,J323,82,11,20,15,1000,1000,1000
PE047,J263,28,0,25,18,1000,1000,1000
PE052,J324,62,11,20,15,1000,1000,1000
PE048,J272,0,178,20,18,1000,1000,1000
PE047,J283,153,18,25,17.6,1000,1000,1000
PE047,J284,128,18,25,17.6,1000,1000,1000
PE047,J285,178,18,27.5,17.6,1000,1000,1000
PE047,J286,178,0,27.5,18,1000,1000,1000
PE047,J287,153,0,25,18,1000,1000,1000
PE047,J288,128,0,25,18,1000,1000,1000
PE047,J271,0,0,27.5,18,1000,1000,1000
PE048,J273,0,158,20,20,1000,1000,1000
PE048,J274,40,167,32,27,1000,1000,1000
PE048,J275,0,140,20,18,1000,1000,1000
PE048,J276,0,120,20,20,1000,1000,1000
PE048,J277,0,100,20,20,1000,1000,1000
PE048,J278,0,80,20,20,1000,1000,1000
PE048,J279,0,60,20,20,1000,1000,1000
